accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,58689.707832876593,59988.147833000003,422363861090393181,68,12,2,2,2,3015933952,5533564928,2255.5433332454413,56434.164499631152
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,73254.880331922323,74786.212041999999,8960423594437787795,86,15,3,3,3,3016228864,5533564928,2816.6067495476454,70438.273582374677
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,73268.468291498721,74796.925208000001,2692717190900070341,86,15,3,3,3,3016228864,5533564928,2835.050042020157,70433.418249478564
