relation,cell,x,y,z,beginning_temperature_k,beginning_eos_deviation,accepted_temperature_k,accepted_eos_deviation,beginning_q0,beginning_q1,beginning_q2,beginning_q3,beginning_q4,beginning_q5,beginning_q6,beginning_q7,beginning_q8,accepted_q0,accepted_q1,accepted_q2,accepted_q3,accepted_q4,accepted_q5,accepted_q6,accepted_q7,accepted_q8,source_species0,source_species1,source_species2,source_species3,source_species4,source_species5,source_species6,source_sensible_energy,source_reacted_fuel,source_oxidized_carbon,source_gross_carbon,source_gas_hrr,source_soot_hrr,source_pilot_energy,source_pilot_expansion,source_radiative_cooling
center,7141,34,34,1,1554.9366498960462,0.095849648463588233,1562.1135809735729,0.12253064874771269,0.016350908204913139,0.0081487325951457024,0.018143413588404655,0.16751392185688019,0.022501144558191299,0.018421677872538567,0,0,393253.375,0.016491865739226341,0.0080876247957348824,0.018411830067634583,0.17105264961719513,0.023055471479892731,0.018875505775213242,0,0,403069.6875,-6.7550688982009888e-05,-0.00026947632431983948,0,0.00018531270325183868,0.00015171431005001068,0,0,2824.2041015625,6.7550384816216289e-05,0,0,12675427.512013087,0,0,0,2082351.0466636699
adjacent,7140,33,34,1,1652.6277886171324,0.061195919398229437,1648.898592995879,0.0038635076545660008,0.012695455923676491,0.0054085054434835911,0.012132188305258751,0.13569243252277374,0.019990386441349983,0.016366122290492058,0,0,343450.375,0.013400908559560776,0.0056870519183576107,0.01308621559292078,0.14444313943386078,0.021161522716283798,0.017324931919574738,0,0,363806.6875,-0.00011653825640678406,-0.00046490225940942764,0,0.000319700688123703,0.00026173889636993408,0,0,5244.55078125,0.00011653829053941418,0,0,21867716.344254661,0,0,0,2196270.9670562129
adjacent,7142,35,34,1,1447.1434012780014,0.010000692689452917,1445.931232338984,0.044155676222820128,0.010907210409641266,0.0039232233539223671,0.023592298850417137,0.16945445537567139,0.019159283488988876,0.015685698017477989,0,0,333028.75,0.011496447026729584,0.0041374014690518379,0.024963410571217537,0.17889757454395294,0.020188188180327415,0.016528058797121048,0,0,351087.34375,-0.00014924164861440659,-0.00059536471962928772,0,0.00040941685438156128,0.00033518858253955841,0,0,7057.29296875,0.00014924166573819235,0,0,28004309.98258974,0,0,0,1533575.9359832692
adjacent,7072,34,33,1,1629.0392951127351,0.056973527549999403,1614.0882905474668,0.0055993220003289768,0.012240543030202389,0.0050115082412958145,0.013439645059406757,0.13923744857311249,0.019831504672765732,0.016236042603850365,0,0,341022.96875,0.013019390404224396,0.0053524021059274673,0.014980039559304714,0.15006440877914429,0.021032948046922684,0.01721966452896595,0,0,361925.5625,-0.00012179138138890266,-0.00048585887998342514,0,0.00033411197364330292,0.00027353689074516296,0,0,5530.45361328125,0.00012179152531670728,0,0,22853454.572161544,0,0,0,2109663.5353734386
adjacent,7210,34,35,1,1491.821187371354,0.04447980334714341,1504.1121807111272,0.051516645786775395,0.010634943842887878,0.0037864432670176029,0.020676422864198685,0.15807127952575684,0.018787581473588943,0.015381387434899807,0,0,326428.1875,0.010513485409319401,0.0036902062129229307,0.020016182214021683,0.15556550025939941,0.01871839351952076,0.015324742533266544,0,0,325185.09375,-0.00012418930418789387,-0.00049542449414730072,0,0.00034069083631038666,0.00027892272919416428,0,0,5783.2666015625,0.00012418940489613667,0,0,23303402.398133028,0,0,0,1611386.3878163092
adjacent,2380,34,34,0,1571.0401003170782,0.11832770311913399,1578.980775133633,0.12326285467527931,0.012741489335894585,0.0061504188925027847,0.014326808042824268,0.13377757370471954,0.018081376329064369,0.014803217723965645,0,0,316917.03125,0.012420248240232468,0.0058656423352658749,0.014119767583906651,0.13261662423610687,0.017981341108679771,0.014721316285431385,0,0,315242.375,-0.00032604765146970749,-0.001300690695643425,0,0.00089445151388645172,0.00073228683322668076,0,0,15798.435546875,0.00032604789451497239,0,0,61180946.098428354,0,0,0,1923714.0847265685
adjacent,11902,34,34,2,1565.6974292549239,0.017483198075024742,1558.0802887547306,0.0554842865604388,0.01470064464956522,0.0072934445925056934,0.015681721270084381,0.14896218478679657,0.020320277661085129,0.016636202111840248,0,0,353943.46875,0.015726720914244652,0.0077963760122656822,0.01725127175450325,0.161004438996315,0.021755427122116089,0.017811160534620285,0,0,379095.5625,-2.838578075170517e-05,-0.0001132376492023468,0,7.7871605753898621e-05,6.3752755522727966e-05,0,0,916.337646484375,2.838568344321198e-05,0,0,5326404.4881800432,0,0,0,1889385.4418061576
