relation,cell,x,y,z,beginning_temperature_k,beginning_eos_deviation,accepted_temperature_k,accepted_eos_deviation,beginning_q0,beginning_q1,beginning_q2,beginning_q3,beginning_q4,beginning_q5,beginning_q6,beginning_q7,beginning_q8,accepted_q0,accepted_q1,accepted_q2,accepted_q3,accepted_q4,accepted_q5,accepted_q6,accepted_q7,accepted_q8,source_species0,source_species1,source_species2,source_species3,source_species4,source_species5,source_species6,source_sensible_energy,source_reacted_fuel,source_oxidized_carbon,source_gross_carbon,source_gas_hrr,source_soot_hrr,source_pilot_energy,source_pilot_expansion,source_radiative_cooling
center,502354,34,35,105,506.58322355464043,0.089718016396395317,499.80160606579216,0.051818777706768571,0.002465859754011035,0.00099380442406982183,0.14024478197097778,0.48121741414070129,0.0040383096784353256,0.0033061627764254808,0,0,133897.796875,0.0024971207603812218,0.0010108813876286149,0.14838141202926636,0.50820058584213257,0.0040772203356027603,0.0033380188979208469,0,0,136629.46875,0,0,0,0,0,0,0,-1.7801293134689331,0,0,0,0,0,0,0,1744.5288445401711
adjacent,502353,33,35,105,392.93140421254952,0.083524472594050936,392.78602376001277,0.044655152186380498,0.0011976712848991156,0.0006005779723636806,0.22293378412723541,0.7420470118522644,0.001638014568015933,0.0013410422252491117,0,0,91522.5390625,0.0011540808482095599,0.00057866348652169108,0.21501834690570831,0.71569377183914185,0.0015785509021952748,0.0012923592003062367,0,0,88133.2109375,0,0,0,0,0,0,0,-0.16860279440879822,0,0,0,0,0,0,0,165.23092730948616
adjacent,502355,35,35,105,723.15882615978649,0.083796321722734213,723.23534769198659,0.063449910558352363,0.0041199564002454281,0.0015614393632858992,0.091819018125534058,0.33600762486457825,0.0070188138633966446,0.0057463007979094982,0,0,198743.84375,0.0042104790918529034,0.0015966912033036351,0.093853428959846497,0.34343382716178894,0.0071704401634633541,0.0058704372495412827,0,0,203173.953125,0,0,0,0,0,0,0,-16.211002349853516,0,0,0,0,0,0,0,15886.801001377145
adjacent,502285,34,34,105,576.60403108531864,0.07011908652480292,572.29522278548347,0.0054604579719569335,0.0036976002156734467,0.0014089923352003098,0.14130251109600067,0.49542877078056335,0.0062783691100776196,0.0051400978118181229,0,0,186649.578125,0.0033973429817706347,0.0012969499221071601,0.1325085461139679,0.46399429440498352,0.005762037355452776,0.0047173770144581795,0,0,171961.28125,0,0,0,0,0,0,0,-5.2686572074890137,0,0,0,0,0,0,0,5163.290047812784
adjacent,502423,34,36,105,435.01257480545837,0.081579964358862833,433.52128914173795,0.050074881262984983,0.0018442589789628983,0.00083686568541452289,0.19881552457809448,0.66800737380981445,0.0027635954320430756,0.0022625541314482689,0,0,120260.7734375,0.0017730433028191328,0.00080605357652530074,0.19375571608543396,0.65081274509429932,0.0026527559384703636,0.0021718095522373915,0,0,115851.8203125,0,0,0,0,0,0,0,-0.53127241134643555,0,0,0,0,0,0,0,520.64759980885844
adjacent,497593,34,35,104,472.95038437513199,0.039637365930569213,471.66523540888477,0.032601671695864809,0.0022238562814891338,0.00091973470989614725,0.16015177965164185,0.54457199573516846,0.0035776139702647924,0.0029289908707141876,0,0,126256.0234375,0.0023786760866641998,0.00098389131017029285,0.1727205365896225,0.58715659379959106,0.0038263320457190275,0.0031326164025813341,0,0,135095.96875,0,0,0,0,0,0,0,-1.0969877243041992,0,0,0,0,0,0,0,1075.0492651133245
