relation,cell,x,y,z,beginning_temperature_k,beginning_eos_deviation,accepted_temperature_k,accepted_eos_deviation,beginning_q0,beginning_q1,beginning_q2,beginning_q3,beginning_q4,beginning_q5,beginning_q6,beginning_q7,beginning_q8,accepted_q0,accepted_q1,accepted_q2,accepted_q3,accepted_q4,accepted_q5,accepted_q6,accepted_q7,accepted_q8,source_species0,source_species1,source_species2,source_species3,source_species4,source_species5,source_species6,source_sensible_energy,source_reacted_fuel,source_oxidized_carbon,source_gross_carbon,source_gas_hrr,source_soot_hrr,source_pilot_energy,source_pilot_expansion,source_radiative_cooling
center,373665,30,33,78,372.20101230493435,0.073573201874713057,371.5477876676664,0.0066230635587177789,0.00078831840073689818,0.00040783139411360025,0.23435717821121216,0.77682268619537354,0.0010437950259074569,0.0008545544114895165,0,0,74278.5390625,0.00072183454176411033,0.00037377720582298934,0.21725402772426605,0.7200697660446167,0.00095483055338263512,0.00078171916538849473,0,0,68225.3984375,0,0,0,0,0,0,0,-0.094095028936862946,0,0,0,0,0,0,0,61.847227518969198
adjacent,373664,29,33,78,375.86493143108589,0.0830636782007661,374.94611966339085,0.071572294709463913,0.00094733573496341705,0.00047353131230920553,0.23368343710899353,0.77583009004592896,0.0012997939484193921,0.0010641408152878284,0,0,77993.21875,0.00092362979194149375,0.00046245288103818893,0.23181217908859253,0.76950150728225708,0.0012651525903493166,0.0010357799474149942,0,0,76413.8515625,0,0,0,0,0,0,0,-0.12585644423961639,0,0,0,0,0,0,0,82.723516723165019
adjacent,373666,31,33,78,377.01410773932093,0.076563801625991523,376.2795035541485,0.0031951759891171161,0.00075992237543687224,0.00039829369052313268,0.23207835853099823,0.76907014846801758,0.00099205994047224522,0.00081219931598752737,0,0,78451.4609375,0.00070036097895354033,0.00036729584098793566,0.21670633554458618,0.71806919574737549,0.00091370131121948361,0.00074804708128795028,0,0,72546.0625,0,0,0,0,0,0,0,-0.098189935088157654,0,0,0,0,0,0,0,64.53874402604734
adjacent,373596,30,32,78,370.61573811938331,0.040206596785564597,369.83397381295106,0.073552990206473878,0.00069916254142299294,0.00036502489820122719,0.21044909954071045,0.69747573137283325,0.0009166441741399467,0.00075045600533485413,0,0,65221.046875,0.00066766532836481929,0.00034888371010310948,0.2035880833864212,0.67467814683914185,0.00087451771833002567,0.0007159671513363719,0,0,62387.140625,0,0,0,0,0,0,0,-0.080053851008415222,0,0,0,0,0,0,0,52.618173091476216
adjacent,373734,30,34,78,371.66062230242164,0.087652168823930676,370.89899524445786,0.07627024052755571,0.00077572907321155071,0.00039977644337341189,0.23782610893249512,0.78818756341934204,0.0010313561651855707,0.00084437039913609624,0,0,74794.9609375,0.00075719261076301336,0.00039077858673408628,0.23585101962089539,0.78155755996704102,0.0010051886783912778,0.00082294718595221639,0,0,73372.9140625,0,0,0,0,0,0,0,-0.091979227960109711,0,0,0,0,0,0,0,60.456544224198396
adjacent,368904,30,33,77,367.22896575749598,0.022726339280976227,366.47080212732362,0.089335254856970026,0.00066762120695784688,0.00034693893394432962,0.2163698673248291,0.71679830551147461,0.00087973190238699317,0.00072023604298010468,0,0,63795.23828125,0.00061454606475308537,0.00031958761974237859,0.20206128060817719,0.66933691501617432,0.00080916349543258548,0.00066246162168681622,0,0,58895.95703125,0,0,0,0,0,0,0,-0.071676656603813171,0,0,0,0,0,0,0,47.111971191656352
adjacent,378426,30,33,79,377.56892401967991,0.072769900216320682,376.24888582893209,0.071339972805021912,0.0008494374924339354,0.00043705126154236495,0.23067194223403931,0.76510500907897949,0.0011313048889860511,0.00092619861243292689,0,0,78630.59375,0.00083305133739486337,0.00042928120819851756,0.23121827840805054,0.76679104566574097,0.0011076680384576321,0.000906847242731601,0,0,77454.6015625,0,0,0,0,0,0,0,-0.11315507441759109,0,0,0,0,0,0,0,74.375104389700738
