accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4501137229672167e-05,4.2032148428461369e-08,1.9102943227267133e-08,0,0,69090.538083808497,70405.143125000002,13065194263245364513,68,12,2,2,2,2987425792,5388550144,2235.9772922936827,66854.560791514814
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7060148062882945e-05,4.2035512848315193e-08,1.9102943227267133e-08,0,0,80991.788790328428,82453.899833000003,7824751799231217697,80,14,3,3,2,2987622400,5388550144,2609.4203328248113,78382.368457503617
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.672369247302413e-05,4.2042163528321908e-08,1.9102943227267133e-08,0,0,86205.031707184389,87829.734834000003,3304930260268180765,86,15,3,3,3,2987720704,5388550144,2794.3804576061666,83410.651249578223
