accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms,intermediate_seal_format,intermediate_digest_version,payload_digest_format,payload_digest_version,qualified_kernel_set_sha256,input_payload_root_sha256,publication_payload_root_sha256,publication_payload_bytes
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,8337.8892904147506,9607.5658750000002,11538574922817109397,68,12,2,2,2,3015933952,5583945728,114.88404124975204,8223.0052491649985,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,ac521b67faec52d7717f5e2ff40dc047c2e35fdded900d8f9d9cff65476a8a5c,c8296b1d4afd5afa336aae4e3948219d82b97ccd29532601e8ec1e908883eac3,5391d4316288b32842f810f037700d1af0cf46f2d88dc999d9bf0bd66cc01b7e,93556764
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,10443.598706740886,11939.218833000001,11884220840382675359,86,15,3,3,3,3016228864,5583945728,141.92295772954822,10301.675749011338,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,ac521b67faec52d7717f5e2ff40dc047c2e35fdded900d8f9d9cff65476a8a5c,50bd79e4d95d4c35a67277df688397b757415da37e65d463404ae7ff5628ecce,78de789b44475186cabf072bbf38058f69be970a2c252ca6015b63b73cfa574b,93556764
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,10396.558831445873,11898.068042000001,12981492540722755793,86,15,3,3,3,3016228864,5583945728,141.47566631436348,10255.083165131509,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,ac521b67faec52d7717f5e2ff40dc047c2e35fdded900d8f9d9cff65476a8a5c,30e6f6bad2bec9bda2df4dc85828c0e9efda6572a85bfe6863b7f0eb8a1e91d2,f2138aa6d8f9716e47af2b16399e8808976463cda4a05df4c935f5b319f479ef,93556764
