beginning_time_s,dt_s,x,y,z_face,beginning_momentum,stress_rate,buoyancy_rate,advection_rate,source_rate,pressure_gradient_rate,total_rate,closure_residual,nonpressure_split_residual,accepted_scalar_face_alpha
2.1079791976176079,0.0014283567883043276,38,42,0,0.0091868138524079726,0,7.0808615464640479,-0,0,-7.0808615464640461,1.7763568394002505e-15,-1.7763568394002505e-15,0,1
2.1079791976176079,0.0014283567883043276,38,42,1,0.088484456257505784,0.15978103356235085,8.397049308218449,-2.8617775458700874,0,-4.8837559671144,0.81129682879631204,3.9968028886505635e-15,0,1
2.1079791976176079,0.0014283567883043276,38,42,2,0.22575141890733733,0.068516669637974648,7.1215502812968108,-0.36905061884800094,0,-6.4665391041896916,0.35447722789709246,-5.3290705182007514e-15,0,1
2.1079791976176079,0.0014283567883043276,38,42,3,0.49744904948712609,-0.4166694313531889,6.252260857351482,-10.619983844486997,0,-1.7539942290041848,-6.5383866474928887,1.7763568394002505e-14,-8.8817841970012523e-16,1
2.1079791976176079,0.0014283567883043276,38,42,4,0.76012465840414323,-0.40518677628525213,5.4975132216031319,1.627808888374656,0,-1.8385966682731743,4.8815386654193613,1.6875389974302379e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,5,0.43399035021057603,-0.10078285183794877,4.1031771873844383,-3.2394686315223487,0,3.9400078743916218,4.7029335784157622,1.2434497875801753e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,6,0.43173742338944404,0.59473693155887819,3.4864870222102486,-3.0261262110765954,0,7.9994742967707939,9.0545720394633253,1.5987211554602254e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,7,0.28384186859913635,-0.031641267097132442,4.6721115766771506,3.2391668420031632,0,-3.924817688308845,3.9548194632743363,1.5543122344752192e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,8,0.57890010636128897,-0.0082815545717647154,5.1781109069117592,2.6212739574854869,0,-7.9559404790247674,-0.16483716919928604,-3.0475622025960547e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,9,0.53898057581591008,0.27729007924253812,4.150671780738918,1.3655385547034995,0,-1.414603872281043,4.378896542403913,2.3980817331903381e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,10,0.84442714767811689,-0.037464735058468035,2.8237019208221135,-2.6915144995509914,0,-0.65504821134870306,-0.56032552513604927,1.0547118733938987e-14,4.4408920985006262e-16,1
2.1079791976176079,0.0014283567883043276,38,42,11,0.94050085980174558,-0.21404641962555815,1.6509229252624065,13.27143659757596,0,2.0043472616095754,16.712660364822383,0,0,1
2.1079791976176079,0.0014283567883043276,38,42,12,0.2242685212626388,1.0837485320551659,1.277085399304507,5.7839630182396125,0,7.797965857532736,15.942762807132022,-3.5527136788005009e-15,0,1
2.1079791976176079,0.0014283567883043276,38,42,13,0.2300021519067052,0.96904733843015989,1.4603528633914724,-5.349026218434382,0,-1.2233390000562738,-4.1429650166690237,-5.3290705182007514e-15,0,1
