accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes
1,0.0016462659696117043,0.0016462659696117043,0.12921424210071564,2,2725,34,39,0,1.4704122804687358e-05,4.203214487574769e-08,1.9102943227267133e-08,0,0,74528.307583415881,75912.644291000004,4997210526464181428,39,13,3,4,3,2410671744,5372362752
2,0.0032925319392234087,0.0016462659696117043,0.15434502065181732,2,2659,37,38,0,4.7915425966493785e-05,4.2035221525793531e-08,1.9102943227267133e-08,0,0,79701.42533397302,81129.528416000001,3583327883960603531,42,14,3,4,4,2514218672,5372362752
3,0.004938797908835113,0.0016462659696117043,0.16914308071136475,2,2659,37,38,0,7.7083852374926209e-05,4.2042074710479937e-08,1.9102943227267133e-08,0,0,79776.888542575762,81199.817458000005,13552995223564941548,42,14,3,4,4,2514218672,5372362752
