sample,time_s,lit_pixels
0,10.531864278920693,77
1,10.594364278920693,109
2,10.656864278906141,98
3,10.719364278913417,273
4,10.781864278913417,339
5,10.844364278942521,407
6,10.906864278913417,404
7,10.969364278913417,356
8,11.031864278913417,26
9,11.094364278913417,16
10,11.156864278913417,14
11,11.219364278913417,13
12,11.281864278913417,20
13,11.344364278913417,20
14,11.406864278971625,21
15,11.469364278913417,24
16,11.531864278913417,25
17,11.594364278913417,30
18,11.656864278913417,37
19,11.719364278913417,29
20,11.781864278902503,35
21,11.844364278924331,44
22,11.906864278924331,49
23,11.969364278924331,34
24,12.031864278924331,40
25,12.094364278982539,37
26,12.156864278982539,34
27,12.219364278902503,35
28,12.281864279004367,38
29,12.344364279004367,37
30,12.406864278917055,38
31,12.469364278917055,44
32,12.531864278917055,33
33,12.594364278946159,41
34,12.656864278946159,45
35,12.719364278946159,35
36,12.781864278946159,35
37,12.844364278946159,29
38,12.906864278946159,37
39,12.969364278946159,32
40,13.031864278946159,32
41,13.094364278946159,37
42,13.156864278946159,39
43,13.219364278946159,36
44,13.281864278946159,44
45,13.344364278946159,29
46,13.406864278946159,27
47,13.469364278946159,24
48,13.531864278946159,36
49,13.594364278946159,40
50,13.656864278946159,41
51,13.719364278946159,46
52,13.781864278946159,51
53,13.844364278946159,46
54,13.906864278946159,47
55,13.969364278946159,45
56,14.031864278946159,50
57,14.094364278946159,49
58,14.156864278946159,57
59,14.219364278946159,54
60,14.281864278946159,50
61,14.344364278946159,57
62,14.406864278946159,70
63,14.469364278946159,72
64,14.531864278946159,86
65,14.594364278946159,80
66,14.656864278946159,82
67,14.719364278946159,85
68,14.781864278946159,79
69,14.844364278946159,89
70,14.906864278946159,96
71,14.969364278946159,90
72,15.031864278946159,89
73,15.094364278946159,60
74,15.156864278946159,61
75,15.219364278946159,60
76,15.281864278946159,56
77,15.344364278946159,50
78,15.406864278946159,66
79,15.469364278946159,60
80,15.531864278946159,68
81,15.594364278946159,61
82,15.656864278946159,72
83,15.719364278946159,73
84,15.781864278946159,75
85,15.844364278946159,79
86,15.906864278946159,75
87,15.969364278946159,84
88,16.031864278946159,84
89,16.094364278946159,87
90,16.156864278946159,93
91,16.219364278946159,97
92,16.281864278946159,110
93,16.344364278946159,99
94,16.406864278946159,113
95,16.469364278946159,106
96,16.531864278946159,104
97,16.594364278946159,107
98,16.656864278946159,123
99,16.719364278946159,126
100,16.781864278946159,127
101,16.844364278946159,135
102,16.906864278946159,139
103,16.969364278946159,146
104,17.031864278946159,135
105,17.094364278946159,144
106,17.156864278946159,144
107,17.219364278946159,133
108,17.281864278946159,146
109,17.344364278946159,126
110,17.406864278946159,130
111,17.469364278946159,120
112,17.531864278946159,114
113,17.594364278946159,114
114,17.656864278946159,118
115,17.719364278946159,114
116,17.781864278946159,113
117,17.844364278946159,108
118,17.906864278946159,110
119,17.969364278946159,122
120,18.031864278946159,145
121,18.094364278917055,243
122,18.156864278975263,251
123,18.219364278917055,290
124,18.281864278975263,313
125,18.344364278975263,309
126,18.406864278975263,328
127,18.469364278975263,334
128,18.531864278975263,345
129,18.594364278975263,354
130,18.656864278975263,349
131,18.719364278975263,342
132,18.781864278975263,336
133,18.844364278975263,64
134,18.906864278975263,48
135,18.969364278975263,31
136,19.031864278975263,26
137,19.094364278975263,17
138,19.156864278975263,28
139,19.219364278975263,21
140,19.281864278975263,26
141,19.344364278975263,27
142,19.406864278975263,25
143,19.469364278975263,34
144,19.531864278975263,39
145,19.594364278975263,41
146,19.656864278975263,46
147,19.719364278975263,55
148,19.781864278975263,56
149,19.844364278975263,60
150,19.906864278975263,75
151,19.969364278975263,73
152,20.031864278975263,72
153,20.094364278975263,80
154,20.156864278975263,76
155,20.219364278975263,63
156,20.281864278975263,70
157,20.344364278975263,70
158,20.406864278975263,73
159,20.469364278975263,80
160,20.531864278975263,80
161,20.594364278975263,59
162,20.656864278975263,54
163,20.719364278975263,60
164,20.781864278975263,63
165,20.844364278975263,52
166,20.906864278975263,55
167,20.969364278975263,51
168,21.031864278975263,46
169,21.094364278975263,52
170,21.156864278975263,48
171,21.219364278975263,58
172,21.281864278975263,49
173,21.344364278975263,59
174,21.406864278975263,61
175,21.469364278975263,65
176,21.531864278917055,64
177,21.594364278917055,69
178,21.656864278917055,71
179,21.719364278946159,66
180,21.781864278946159,75
181,21.844364278946159,79
182,21.906864279004367,82
183,21.969364279004367,109
184,22.031864278946159,106
185,22.094364278946159,82
186,22.156864279004367,87
187,22.219364279004367,84
188,22.281864279004367,89
189,22.344364279004367,77
