frame,time_s,lit_pixels,display_sha256
50,13.656864278946159,41,5f5152b749c725c68ee1652e29a27343b40ff8387e9a309360b1be62209d3bf0
51,13.719364278946159,46,b7036554988985d6d125533f4375dc53b6120dfa080cea6e3ba964341157dfc3
52,13.781864278946159,51,c0a17d214b232e32d322db02815d5e06ca149f992a266cd692d0c51794fd319f
53,13.844364278946159,46,fa2481907f8d2d9d052eb270126175bc8d7bb2888715415fd43445b4980ab041
54,13.906864278946159,47,1812ff5b688a4e3be38b81d8db15771adcd95e4c0d9a830f8bed4a074c726861
55,13.969364278946159,45,17d4d89f1790e16781ed97f0fd3890f7d294ca3ba72746c9c63fd186d2a8541a
56,14.031864278946159,50,bdc28b32241620c14d41b80aaa6b040395d38e1b88a8adc087ff4056b4ad055f
57,14.094364278946159,49,31c650a21e95889ab9db2dc12b1e8f96289907c3fd05cdef0136fb3d9ffe9ff3
58,14.156864278946159,57,e73db368f4b9dfb87b1fcf16c5c14d9e288f35dd946e109f766a316e4368f2e8
59,14.219364278946159,54,a85cceafa52b3b51301bc6acf22f7f44356a4950bf126606f88cf16199ced83e
60,14.281864278946159,50,033fa5b1446924138da34e87499086582b03c71456cfeacf074a94b39906b35f
61,14.344364278946159,57,b7c50266960f113073e8b876ba9974c98abbc0361e329cd1ea8e9bbdeacd1c67
62,14.406864278946159,70,a61b94afd5716e3aa4845b6ce6116da763a8234814ff721cee4182bc79ac3209
63,14.469364278946159,72,ce9c4bc0c73300bfc0d1da37208ad259ba6c9f7b219ee69bdc9f2039a6781737
64,14.531864278946159,86,b54c08f3682ec1c3fac64fefe4436c789a3b4fba39cbd1bb21e7f21044d726fb
65,14.594364278946159,80,405e89519785b60f6ec03608f5097291bf7f6a73ff2d362aad263fe8a916aa7b
66,14.656864278946159,82,626a6efc921ae3b76ac378d1aa1304964274802bc973e191f9c0a7879b407c51
67,14.719364278946159,85,d2161debd91e8d52cc69434d8bf6c609b0c7610ee524f90cf2b28a0b28f91db7
68,14.781864278946159,79,a0581089226891ff9c1b294c884613adea702639a30700bdad8fd6782c9b660b
69,14.844364278946159,89,a3755b68587a46a6b4ae1ae3ad16095ea84d9af1e679a4289d3f9aff431eea36
70,14.906864278946159,96,7bc688e92e56d8896f28ad2ab2e8659d8a0608e9db5fb73edb9e330d1df8e3b8
71,14.969364278946159,90,a73b4f53ea8d24698a5be9fc89cf6fab874795c4d38532bc3474a77f24dbe8d8
72,15.031864278946159,89,f311968291a0e7b2f6ea276baf6fa3cf64dcaf29bd3121a9f4a68c788a2b6a6c
73,15.094364278946159,60,bea9355069f76328771fa0177962700f55166ae51b325a953396ab079fbde23b
74,15.156864278946159,61,1f0d486d03f81bbbb6c59adc23dd6af399541d55c35eec7a76e257c4afbe1095
75,15.219364278946159,60,f6b0bfe53ab9d38f52960272c97a48ff327e136d09106074cd29558034480094
76,15.281864278946159,56,b383f192e5d157dc964087c50e438359b01969cb2eb6dcb38b1fa41247cd7ba8
77,15.344364278946159,50,e835880bcc4682f45dd3ad8790a791773b6fd23f08add81bb401b8ad79950ee6
78,15.406864278946159,66,1c89af5f1e03f98e9bf06d362c8e85a160685cc3630e2879f27454ec5c79240d
79,15.469364278946159,60,e575c708218c9adb9099a54415a3558c573c7ac15a2c317e416ded70ca7aff23
80,15.531864278946159,68,56e6b21af96a9d5a4bbc1a76421a4e768545cba20cc20e85ceeb0f77c4a068d0
81,15.594364278946159,61,319337ce348959412e3b40f2f30a8a7523e537c6c2cb94318d037c74bb2400fc
82,15.656864278946159,72,78ff62eb14a76214a5334d408b9ae80580ea300fdb72555fb91bbd8a2294c37f
83,15.719364278946159,73,f8f71e7d30559577c5deb5b2c7652850bfffa138563a809008271b4bd8ccb362
84,15.781864278946159,75,3235ff7939846eaa405b0162109d80ab82d5d652d5170f49dfc28dff7c14f43d
85,15.844364278946159,79,6ebafa2d711769db5d3f40975c4a1c181c8e915065add8ffc1b31c22c02820d0
86,15.906864278946159,75,ad3ca6f306752d5e838066cec3ea959401080d3e904f4d275c536185f3ed356b
87,15.969364278946159,84,4274f080df60aaeb1aa8ce369cb53cb1c97c4bde765ea4871407e8814b83d7e5
88,16.031864278946159,84,f3cfd56c9697a010c8779f2b585b3e823c367df285a80046a4fedab1cc2539ee
89,16.094364278946159,87,4d8fa0cb3f37dea1d739e5251fb738756474e19c432ec2ff9ef171778d2c4cd4
90,16.156864278946159,93,2e14f643b198aed3a71fcaa78d8eb6d4edfc3de81e610b521469791f18be04f6
91,16.219364278946159,97,349dcb87cff2355398461a8c0ab968a7b374b98853ca3b48f8ac55ec0ef2c60d
92,16.281864278946159,110,7f74b397add0920ff2412688c54322c46c80c93e82949eb1688931143d6146ef
93,16.344364278946159,99,5604642d1cc8effa7dd14ed1442e026737a1fd05af1b8f80a64ce1e3283275f6
94,16.406864278946159,113,666c1c7aa30c4ee46f3091986ff024dcd874b37cd81df969b1dd36c787ef628e
95,16.469364278946159,106,6d76c959389a601ee07fcb5b533c45ec448a01e5a4b8b0b1d7748975ff69c761
96,16.531864278946159,104,9db20b05d1bdb08959b48fb5eb478eb86ed9c01981d3d45561c3187eddbe5762
97,16.594364278946159,107,97396797e76fe2d7e2ca99c1d9ed0de991b4a8bba350c8bba2254716e1d9e712
98,16.656864278946159,123,397516480487f96db7c0ad39795eae30038052db05e3114fce6f403971597a80
99,16.719364278946159,126,efa5e063d39a7e878dd6e3da9e23270063317291141a63f287f3e568cd6fa268
100,16.781864278946159,127,68c57d3c6edc4ecf1e7752697731c69b30daf9127ac6f88aa2b60a6d29a8b933
101,16.844364278946159,135,3f6c6131233e3de2cd568eb1f138edbb0359047bc895aa2797e67ff9887af4fc
102,16.906864278946159,139,648ec7c12a8c05e7d63deceedd598c4bec4d4f849e036524285d87b4722016b0
103,16.969364278946159,146,90b9bfc262894af32e7d4321c0bba18ba42ffbab209b2735062a69f18f88862a
104,17.031864278946159,135,7224766abd3485fda399284fecbd5c5d22a2a0c64af865b30c7244b760b7a36e
105,17.094364278946159,144,cf6a59e0c761f6724cbebb079448b0880cd630f2489a0efa3c8ad4c2ae019099
106,17.156864278946159,144,f3270ea092e240e2047c9981a8209a5d8f7a7f3182417c6d7fdc6570a0a3f7d5
107,17.219364278946159,133,d88776a24a70c2376821dd61f7e8a9947288edebf38c0e66f9093f16c74b2153
108,17.281864278946159,146,249a85c5d99e82c0583ebbb6a029cb1bc622caecba03b5629157992311193f67
109,17.344364278946159,126,7c38f144537ceaa18823e42dc3e67fc91587f8f8c062000522d735dbf30e9c71
110,17.406864278946159,130,b56c35e76b18cf5b9d230bdb2f2baaf67e7f45b616f22250d392e976114eb6a8
111,17.469364278946159,120,2d107812654f94c92c0954e6029442399eca113f19ed4ca8fbc7aa7456c7303e
112,17.531864278946159,114,d5c07e8680d83e2d621c5d7ee2de142e53aac47abff64769867fd60f62a151e0
113,17.594364278946159,114,8af400f4cd1230fb8371934f46a9d2da65a189253c16a3991dadca778c9ed8ed
114,17.656864278946159,118,8d6af6009713ceed541de4f6c24b8c59a7893415d6332158724d7931d70aab35
115,17.719364278946159,114,db9246776b2be72c5353fa38905d7c2cd0bf42370783986e0ce5793958f0abf0
116,17.781864278946159,113,f766c688eb24b48bd116e11130ad63923d939c87c50b213ca492e190021431c6
117,17.844364278946159,108,5bfd4f7f2bdac4b699fa55188f6b2aa03a661df2aa640f6048afeae8adca1ab4
118,17.906864278946159,110,427b5698fb695c37e0aeb4300b52be2bfecc67c2d3538962e0bbf0b7ec6b05a1
119,17.969364278946159,122,12752e0e83a8d9d62d02822ddb3f091b31b560a5863d5cd8c882c55d5e2150b0
120,18.031864278946159,145,997cbba603f21cb8fbb6e9c21454fb692e15a8b01ed0d3b3df080cd5129576eb
121,18.094364278917055,243,93336e9e882427a4510ea7fca5865cd74dcc6248dd2979abc636376fe6312bb1
122,18.156864278975263,251,bb8ab460c398ef7840d8880419cffb0c57b2ea68d6838bdf6c51c6d4c36f57b6
123,18.219364278917055,290,abcc60d4290c53d310e299443b0f48761f47c0aeaeba94ec2705ca72607bf1bc
124,18.281864278975263,313,d352e24d6101bb61c3d135508124bedabdef5b943fff4b50edecac8e10368ea5
125,18.344364278975263,309,f9fcc45a3d935d069f62b18aa071596b7112f6ef45a3fdbacaa1b2bb8171e7d1
126,18.406864278975263,328,507ea25053dc10ff358a3cd89e487bf66bdfca803e42eab03a0a7269fa927bee
127,18.469364278975263,334,0d176312d82f493f81dc1308502cdc327c33b879fc16dde42f3a23ebabf64083
128,18.531864278975263,345,71e05fe442b0cd82e148cc84287e6e287ebc23813e52b62fd6c12a7e60819e42
129,18.594364278975263,354,4e23dd16807e1be996f081754680080ebc11cfb2eddf622d4c88de50d7a99e0e
130,18.656864278975263,349,f9a594bb060c49c7c8a251a94fcf88f4d8b2c4fc23c6452efdee2f349ab118a7
131,18.719364278975263,342,d7b2c7e9d2e203b622c1a59a5869acd4649b9cb0187d0d7146c4ccf7e6f4bf19
132,18.781864278975263,336,1ac5644f0986d4f718045f289f0da2c8d3b54e1dbd5ff1722d485e0fbdd27c2a
