sample,time_s,centerline_heat_release_W
0,10.531864278920693,0
1,10.532639282086166,0
2,10.533491785550723,0
3,10.534429539373377,0
4,10.535461068531731,0
5,10.536595750629203,0
6,10.537843900994631,0
7,10.5392168663966,0
8,10.540727128303843,0
9,10.542373394273454,0
10,10.544019660243066,0
11,10.545665926212678,0
12,10.547312192182289,0
13,10.548958458151901,0
14,10.550604724121513,0
15,10.552250990091125,0
16,10.553897256060736,0
17,10.555543522030348,0
18,10.55718978799996,0
19,10.558836053969571,0
20,10.560482319939183,0
21,10.562128585908795,0
22,10.563774851878406,0
23,10.565421117848018,0
24,10.56706738381763,0
25,10.568713649787242,0
26,10.570359915756853,0
27,10.572006181726465,0
28,10.573652447696077,0
29,10.575298713665688,0
30,10.5769449796353,0
31,10.578591245604912,0
32,10.580237511574524,0
33,10.581883777544135,0
34,10.583530043513747,0
35,10.585176309483359,0
36,10.58682257545297,0
37,10.588468841422582,0
38,10.590115107392194,0
39,10.591761373361805,0
40,10.593407639331417,0
41,10.594364278920693,0
42,10.595416582509642,0
43,10.596574116469128,0
44,10.597847403812921,0
45,10.5992480199493,0
46,10.600788697687676,0
47,10.602434963657288,0
48,10.6040812296269,0
49,10.605727495596511,0
50,10.607373761566123,0
51,10.609020027535735,0
52,10.610666293505346,0
53,10.612312559474958,0
54,10.61395882544457,0
55,10.615605091414182,0
56,10.617251357383793,0
57,10.618897623353405,0
58,10.620543889323017,0
59,10.622190155292628,0
60,10.62383642126224,0
61,10.625482687231852,0
62,10.627128953201463,0
63,10.628775219171075,0
64,10.630421485140687,0
65,10.632067751110299,0
66,10.63371401707991,0
67,10.635360283049522,0
68,10.637006549019134,0
69,10.638652814988745,0
70,10.640299080958357,0
71,10.641945346927969,0
72,10.64359161289758,0
73,10.645237878867192,0
74,10.646884144836804,0
75,10.648530410806416,0
76,10.650176676776027,0
77,10.651822942745639,0
78,10.653469208715251,0
79,10.655115474684862,0
80,10.656761740654474,0
81,10.656864278906141,0
82,10.656977070982975,0
83,10.657101142271131,0
84,10.657237620682281,0
85,10.657387746941822,0
86,10.657552885830228,0
87,10.657734538610384,0
88,10.657934356662736,0
89,10.658154156517412,0
90,10.658395936356101,0
91,10.658661894172837,0
92,10.658954447768338,0
93,10.65927625673794,0
94,10.659630246598681,0
95,10.660019635448407,0
96,10.660447963186016,0
97,10.660919123700296,0
98,10.661437400289287,0
99,10.662007504513895,0
100,10.662634619184246,0
101,10.663324445333274,0
102,10.664083254079742,0
103,10.664917943729961,0
104,10.665836102351022,0
105,10.666846076863294,0
106,10.667957048768585,0
107,10.669179117910971,0
108,10.67052339392103,0
109,10.671909346383472,0
110,10.673347792144341,0
111,10.674930082539504,0
112,10.676413072644209,0
113,10.677942483474908,0
114,10.67958874944452,0
115,10.681235015414131,0
116,10.682881281383743,0
117,10.684527547353355,0
118,10.686173813322966,0
119,10.687820079292578,0
120,10.68946634526219,0
121,10.691112611231802,0
122,10.692758877201413,0
123,10.694405143171025,0
124,10.696051409140637,0
125,10.697697675110248,0
126,10.69934394107986,0
127,10.700990207049472,0
128,10.702636473019083,0
129,10.704282738988695,0
130,10.705929004958307,0
131,10.707575270927919,0
132,10.70922153689753,0
133,10.710867802867142,0
134,10.712514068836754,0
135,10.714160334806365,0
136,10.715806600775977,0
137,10.717452866745589,0
138,10.719099132715201,0
139,10.719364278913417,0
140,10.719655939719814,0
141,10.719976766609761,0
142,10.720329676194524,0
143,10.720717876734852,0
144,10.721144897332124,0
145,10.721614620000764,0
146,10.722131314912986,0
147,10.722699679310608,0
148,10.723324880171276,0
149,10.724012601123832,0
150,10.724769094194926,0
151,10.725601236561488,0
152,10.726516593182168,0
153,10.727523485482379,0
154,10.728631067024253,0
155,10.729849406685389,0
156,10.731189580335922,0
157,10.732663771304942,0
158,10.73423168464069,0
159,10.735877950610302,0
160,10.737524216579914,0
161,10.739170482549525,0
162,10.740816748519137,0
163,10.742463014488749,0
164,10.74410928045836,0
165,10.745755546427972,0
166,10.747401812397584,0
167,10.749018151713244,0
168,10.750585128254897,0
169,10.752231394224509,0
170,10.753877660194121,0
171,10.755523926163733,0
172,10.757170192133344,0
173,10.758816458102956,0
174,10.760457795979164,0
175,10.762104061948776,0
176,10.763750327918387,0
177,10.765396593887999,0
178,10.767042859857611,0
179,10.768689125827223,0
180,10.770335391796834,0
181,10.771981657766446,0
182,10.773627923736058,0
183,10.775274189705669,0
184,10.776920455675281,0
185,10.778524258108519,0
186,10.780076845367148,0
187,10.78172311133676,0
188,10.781864278913417,0
189,10.78201956324483,0
190,10.782190376012295,0
191,10.782378270050685,0
192,10.782584953492915,0
193,10.782812305282278,0
194,10.783062392256397,0
195,10.783337487919198,0
196,10.783640093133727,0
197,10.78397295888135,0
198,10.784339111203735,0
199,10.78474187876418,0
200,10.78518492308649,0
201,10.785672271849762,0
202,10.786208355501003,0
203,10.78679804753483,0
204,10.787446708760399,0
205,10.788160236137628,0
206,10.788945116270042,0
207,10.78980848442734,0
208,10.790758189388725,0
209,10.791802864863712,0
210,10.792952007839631,0
211,10.79414664592332,0
212,10.795460747780453,0
213,10.796854958163749,0
214,10.798279068309057,0
215,10.799774167702708,0
216,10.801175841705117,0
217,10.802568504113879,0
218,10.804100432775158,0
219,10.80574669874477,0
220,10.807392964714381,0
221,10.809039230683993,0
222,10.810685496653605,0
223,10.812331762623216,0
224,10.813978028592828,0
225,10.81562429456244,0
226,10.817270560532052,0
227,10.818916826501663,0
228,10.820563092471275,0
229,10.822209358440887,0
230,10.823855624410498,0
231,10.82550189038011,0
232,10.827148156349722,0
233,10.828794422319334,0
234,10.830440688288945,0
235,10.832086954258557,0
236,10.833733220228169,0
237,10.83537948619778,0
238,10.837025752167392,0
239,10.838672018137004,0
240,10.840318284106615,0
241,10.841964550076227,0
242,10.843610816045839,0
243,10.844364278942521,0
244,10.845193088105589,0
245,10.846104778167501,0
246,10.847107637258887,0
247,10.848210782212846,0
248,10.849424241627275,0
249,10.850759047018073,0
250,10.852227332936309,0
251,10.853842447446368,0
252,10.85542316216015,0
253,10.857017968948639,0
254,10.858664234918251,0
255,10.860310500887863,0
256,10.861956766857475,0
257,10.863603032827086,0
258,10.865249298796698,0
259,10.86689556476631,0
260,10.868541830735921,0
261,10.870188096705533,0
262,10.871834362675145,0
263,10.873480628644757,0
264,10.875126894614368,0
265,10.87677316058398,0
266,10.878419426553592,0
267,10.880065692523203,0
268,10.881711958492815,0
269,10.883358224462427,0
270,10.885004490432038,0
271,10.88665075640165,0
272,10.888297022371262,0
273,10.889943288340874,0
274,10.891589554310485,0
275,10.893235820280097,0
276,10.894882086249709,0
277,10.89652835221932,0
278,10.898174618188932,0
279,10.899820884158544,0
280,10.901467150128155,0
281,10.903113416097767,0
282,10.904759682067379,0
283,10.906405948036991,0
284,10.906864278913417,0
285,10.907368442880397,0
286,10.907923023238254,0
287,10.908533061643539,0
288,10.909204103889351,0
289,10.909942250371387,0
290,10.910754211501626,0
291,10.911647368768172,0
292,10.912629841790476,0
293,10.913710562126653,0
294,10.914899354531372,0
295,10.916207026188204,0
296,10.917645464964153,0
297,10.919227747675905,0
298,10.920874013645516,0
299,10.922520279615128,0
300,10.92416654558474,0
301,10.925812811554351,0
302,10.927459077523963,0
303,10.929105343493575,0
304,10.930751609463186,0
305,10.932397875432798,0
306,10.93404414140241,0
307,10.935690407372022,0
308,10.937336673341633,0
309,10.938982939311245,0
310,10.940629205280857,0
311,10.942275471250468,0
312,10.94392173722008,0
313,10.945568003189692,0
314,10.947214269159304,0
315,10.948860535128915,0
316,10.950506801098527,0
317,10.952153067068139,0
318,10.95379933303775,0
319,10.955445599007362,0
320,10.957091864976974,0
321,10.958738130946585,0
322,10.960384396916197,0
323,10.962030662885809,0
324,10.963676928855421,0
325,10.965323194825032,0
326,10.966969460794644,0
327,10.968615726764256,0
328,10.969364278913417,0
329,10.970187686289137,0
330,10.971093434396607,0
331,10.97208975734975,0
332,10.973185712609848,0
333,10.974391263349389,0
334,10.975717369139602,0
335,10.977176085485553,0
336,10.978780673489382,0
337,10.980426939458994,0
338,10.982073205428605,0
339,10.983719471398217,0
340,10.985365737367829,0
341,10.987012003337441,0
342,10.988658269307052,0
343,10.990304535276664,0
344,10.991950801246276,0
345,10.993597067215887,0
346,10.995243333185499,0
347,10.996889599155111,0
348,10.998535865124722,0
349,11.000182131094334,0
350,11.001828397063946,0
351,11.003474663033558,0
352,11.005120929003169,0
353,11.006767194972781,0
354,11.008413460942393,0
355,11.010059726912004,0
356,11.011705992881616,0
357,11.013352258851228,0
358,11.01499852482084,0
359,11.016644790790451,0
360,11.018291056760063,0
361,11.019937322729675,0
362,11.021583588699286,0
363,11.023229854668898,0
364,11.02487612063851,0
365,11.026522386608121,0
366,11.028168652577733,0
367,11.029814918547345,0
368,11.031461184516957,0
369,11.031864278913417,0
370,11.032307682755345,0
371,11.032795426981465,0
372,11.033331945618556,0
373,11.033922116119356,0
374,11.034571303658595,0
375,11.035285409969219,0
376,11.036070926893444,0
377,11.036934995521733,0
378,11.037885471036134,0
379,11.038930994131078,0
380,11.04008106947731,0
381,11.041346152334881,0
382,11.042737743489852,0
383,11.044268493795244,0
384,11.045914759764855,0
385,11.047561025734467,0
386,11.049207291704079,0
387,11.05085355767369,0
388,11.052499823643302,0
389,11.054146089612914,0
390,11.055792355582525,0
391,11.057438621552137,0
392,11.059084887521749,0
393,11.060731153491361,0
394,11.062377419460972,0
395,11.064023685430584,0
396,11.065669951400196,0
397,11.067316217369807,0
398,11.068962483339419,0
399,11.070608749309031,0
400,11.072255015278643,0
401,11.073901281248254,0
402,11.075547547217866,0
403,11.077193813187478,0
404,11.078840079157089,0
405,11.080486345126701,0
