regime,time_s,dt_s,velocity_m_per_s,stress,buoyancy,advection,pressure,restoration,vreman_min_m2_per_s,vreman_max_m2_per_s
tier6 late,2.0824416930554435,0.0016462659696117043,11.045080184936523,-1.5294615063080759,7.4785356979127195,467.23766280043083,487.31430375261368,-322.20149905415457,0.0005680712056346238,0.0007109809666872025
tier8 pre-bound,1.7755267315078527,0.0015412584180012345,8.8575849533081055,-0.29198019322609664,8.2871769213937068,397.96898040524621,400.23860459786835,-273.49698568105026,0.0003948687226511538,0.0005931847845204175
16 m/s crossing,2.1312820004532114,0.00087058159988373518,16.140964508056641,-14.924236574947658,9.7104657928156612,1081.7585733753629,-752.52228552738154,160.92827415652269,0.0008385986438952386,0.004160452168434858
30 m/s crossing,2.1351276419591159,0.00044663139851763844,30.402894973754883,-55.716992509776723,9.5473255877146421,3616.6847638148438,-2570.9196547040042,379.54573013744567,0.0015191949205473065,0.007869894616305828
64 m/s crossing,2.1376806174521334,0.00020934514759574085,63.686721801757812,-255.01892557456026,9.4449442096458593,14648.895478958875,-9909.7918674074663,1221.1550822464674,0.0023741775657981634,0.016612404957413673
