accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms,intermediate_seal_format,intermediate_digest_version,payload_digest_format,payload_digest_version,qualified_kernel_set_sha256,input_payload_root_sha256,publication_payload_root_sha256,publication_payload_bytes
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,9289.8262909147888,10595.668041000001,5967341185633239005,68,12,2,2,2,3015933952,5583945728,127.05108360387385,9162.775207310915,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,d3059d70908b3823a589f2710a974739b019da6c6a6866fe1d78146612fa8eca,6d23d2b9caa72fc197d25d7cfb0d6e830a30246cf7690b6131c8c799d383ad05,93a6a471a704173329e4dec10cb9cda0623cd6af9316babf87b526d50fc5ea2d,93556764
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,11540.634332690388,13056.108292000001,17442793514122972375,86,15,3,3,3,3016228864,5583945728,152.24287449382246,11388.391458196566,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,d3059d70908b3823a589f2710a974739b019da6c6a6866fe1d78146612fa8eca,83d0fb742f6d20390f902c38304ceaf84bf0ee18a30dfb5f4ecf1ff2dfcd1d8c,f59e6fc0d825848273898624117b840efdd606f3ee08df2ae046a8169a739ed9,93556764
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,11114.208666374907,12629.899834,9724541013763221713,86,15,3,3,3,3016228864,5583945728,146.86791668646038,10967.340749688447,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,d3059d70908b3823a589f2710a974739b019da6c6a6866fe1d78146612fa8eca,ac6ebd2ecf61e0e4972d0383bb9cf22bb7f15504b0d8dce66ec7b98915d8c92b,c2cb4c7cf68b3769cc43aae5673f3c44f8b80181cdab7790a3c8a7621688b4c7,93556764
