accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms,intermediate_seal_format,intermediate_digest_version,payload_digest_format,payload_digest_version,qualified_kernel_set_sha256,input_payload_root_sha256,publication_payload_root_sha256,publication_payload_bytes
1301,2.1096706851385534,0.0016462659696117043,8.0655908584594727,2,149970,33,34,31,0.010240077972412109,1.6689300537109375e-06,0,0,0,15624.157001730055,17513.846333000001,9205599846180445409,126,27,5,3,5,3016704000,5584011264,253.66549892351031,15370.491502806544,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,3627db7b0e166329d097b3ef7a396aec0a0dfcf841b18c0e759f97c7127d3b3e,a610e8005d2df26436014e2292d02edb9b36c1c1c63688de9df21863bb75c684,93556764
1302,2.1113169511081651,0.0016462659696117043,8.2444791793823242,2,149970,33,34,31,0.010830283164978027,1.6689300537109375e-06,0,0,0,16270.021711941808,18204.068292,3509881720126760507,132,28,5,3,6,3016851456,5584011264,265.63508342951536,16004.386628512293,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,d9821fab5c74d533ae3a5c936827c6677848c5e37ea0cb80595f76f42457e689,c6a30f7a7d3610167852c80cb0278b2243f6501547daa2af4ef1de9415eef9c5,93556764
1303,2.1129632170777768,0.0016462659696117043,8.2610654830932617,2,149970,33,34,31,0.011062145233154297,1.6689300537109375e-06,0,0,0,15515.379125718027,17359.651125,3645811240838658885,126,27,5,3,5,3016704000,5584011264,255.6074159219861,15259.771709796041,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,70d3fb10f966930c8b3229b6721124c800fe21292c5f73c1578176105c14c452,9bad20e828da84c0449f67d51a9eb867a2436acc91b356d2df24ffd37f59dbfb,93556764
1304,2.1146094830473885,0.0016462659696117043,8.11199951171875,2,149970,33,34,31,0.010881185531616211,1.6689300537109375e-06,0,0,0,16444.668622687459,18374.885459000001,12988718779221789385,132,28,5,3,6,3016851456,5584011264,265.15654101967812,16179.512081667781,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,59daf27b8957da1c68444462b7c19eed21b33792fcfcd923b0d72da08150306c,5148e3d8e34c6a089047fa84d5c4120881adcd996eec1191e7f85424b5867b14,93556764
1305,2.1162557490170002,0.0016462659696117043,7.8121609687805176,2,149970,33,34,31,0.01064610481262207,1.6689300537109375e-06,0,0,0,15558.371163904667,17513.474208,6524274351205927729,126,27,5,3,5,3016704000,5584011264,242.39145824685693,15315.97970565781,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,18d193972d28e01a7e3fc34dadab350560403ef90a80b4c29a27ff6945e74fdc,a5e839fe93eced2e19a732d5dc0693e72e1f197a66684cb3399195751932b403,93556764
1306,2.1179020149866119,0.0016462659696117043,7.3904986381530762,2,149970,33,34,31,0.0097957849502563477,1.6689300537109375e-06,0,0,0,15491.666539572179,17424.118166,17130734218885192897,126,27,3,5,5,3016704000,5584011264,238.22349822148681,15253.443041350693,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,2d5cf646eb8279bb13a73365d5a25cc49b58fe2197c13267fe8c698b3d1dd4a4,711c4c57602d0d2d2112ddaa43d3f4890f0bcd93d32c3e1f0ef6e483bb4021bf,93556764
1307,2.1195482809562236,0.0016462659696117043,7.2079834938049316,2,183159,33,32,38,0.0088362693786621094,1.7285346984863281e-06,0,0,0,15658.471417147666,17603.691416999998,3237156939253459217,126,27,5,3,5,3016704000,5584011264,241.06725258752704,15417.404164560139,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,ce835e9409ade48d774fdbe3836915a1e034dfce39dffc91ea9423a424425bcd,423c6ad5cc5657e7313d69a1aae071beabe0e17a7a421ffe6ca64b010a609fba,93556764
1308,2.1211945469258353,0.0016462659696117043,7.2320051193237305,2,183159,33,32,38,0.0091508626937866211,1.7285346984863281e-06,0,0,0,17559.363163076341,19608.914541999999,5526264981797248991,138,29,5,5,5,3016949760,5584011264,270.3919168561697,17288.971246220171,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,815bc5e0dd399ecb8ddb6dade20af3e563ff293f7f874d0690199bd6febfffe4,18b88ac4b227acd83d42f4688b0e78001ffac8aefb9250e7b1a2fa7aea3ca8fa,93556764
