accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms,intermediate_seal_format,intermediate_digest_version,payload_digest_format,payload_digest_version,qualified_kernel_set_sha256,input_payload_root_sha256,publication_payload_root_sha256,publication_payload_bytes
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,9145.9483336657286,10444.767041999999,8088774077857635077,68,12,2,2,2,3015933952,5583945728,121.47295847535133,9024.4753751903772,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,b8e6407c3c7d760d32c595c90c643c3b7562a086dd4d7b726376b9bd7127b248,5fb8fe93e7421c86faa5bf7495743d5d19ba389dbfd9a6a5603881b8fe5e6b02,5d881e11568a6faabb320b6692322e0d3b32a05b63319992d19032dd80db9cbb,93556764
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,11535.138376289979,13036.723540999999,12353024442497110051,86,15,3,3,3,3016228864,5583945728,154.62366607971489,11380.514710210264,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,b8e6407c3c7d760d32c595c90c643c3b7562a086dd4d7b726376b9bd7127b248,7472ea28100dc73b95262767fd84403888f6f49a23a028046909370ffc8c039b,c3ed7edc025340583ac755b98b8998fe8227003f6408ccedf47b842ef51d1b3f,93556764
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,11416.009626584128,12939.451792,3500817696900238921,86,15,3,3,3,3016228864,5583945728,149.07445898279548,11266.935167601332,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,b8e6407c3c7d760d32c595c90c643c3b7562a086dd4d7b726376b9bd7127b248,3921a2e8b31fb721d89747994039e1abedce3f69fd39ecea0301fcd2502ce4fb,dd15c1b200be4429fb20939780a8a74acfb854efd8f681538e2af6914e7e97b5,93556764
