accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms,intermediate_seal_format,intermediate_digest_version,payload_digest_format,payload_digest_version,qualified_kernel_set_sha256,input_payload_root_sha256,publication_payload_root_sha256,publication_payload_bytes
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,2469.5797087624669,3730.2447910000001,18185074372653628409,68,12,2,2,2,3015933952,5584011264,116.37029214762151,2353.2094166148454,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,833ba246d58e690ecddf53c9e12f65c8a536378fd0d8658e4295085bf54bd0d0,7ea92fc3fb10101184c7246da7db65991ad6a56d7f97287c75fea19589ba8902,21bc36d44910a7b069b848e893172f6413a8f9d9ba2b00fbad94dd6d6aeaf71f,93556764
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,3108.1270000431687,4587.0076669999999,11972242883834181951,86,15,3,3,3,3016228864,5584011264,142.51904212869704,2965.6079579144716,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,833ba246d58e690ecddf53c9e12f65c8a536378fd0d8658e4295085bf54bd0d0,a8f6f33f2785c76baa7d8cb54021491b436d7bdd4801acf3e9d7ead580b3ba0f,b1d9604fd3587a54d560804cecfb72062f14edc873beda155327c4c991802656,93556764
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,3092.6496251486242,4572.6840830000001,11989243859893371001,86,15,3,3,3,3016228864,5584011264,143.19858280941844,2949.4510423392057,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,833ba246d58e690ecddf53c9e12f65c8a536378fd0d8658e4295085bf54bd0d0,2c30f327e6f14bdbb2bf90b95484c1f9e133c6a51c402e5b69bd8e02fe83688c,edf77d861197a4384ca3257cad6af2bce8a466a7eae89196df68b0b4bf453537,93556764
