scope,source,case_record_sha256,owner_identity,stage,phase,raw_iteration_tag,iteration,trace_index,axis,face,column_z,side,provisional_momentum_kg_m-2_s-1,projected_velocity_m_s-1,projected_momentum_kg_m-2_s-1,shared_alpha,delta_reference_trace_index,delta_previous_provisional_momentum_kg_m-2_s-1,delta_previous_projected_velocity_m_s-1,delta_previous_projected_momentum_kg_m-2_s-1,local_convergence_enclosure
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,picard,1,2,2,2,10,0,0,0,-0.019722271710634232,-0.014693501405417919,1,1,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,picard,1,2,2,2,26,1,0,0,0.0016483475919812918,0.0008127349428832531,1,1,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,picard,1,2,2,2,42,2,0,0,-0.0054650800302624702,-0.0026946146972477436,1,1,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,picard,1,2,2,2,58,3,0,0,0.01022196002304554,0.0050400439649820328,1,1,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,picard,1,2,2,2,74,4,0,0,0.011198834516108036,0.00837717205286026,1,1,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,terminal_reprojection,2147483649,2,3,0,12,0,0,0,-0.0044063837267458439,-0.002863338915631175,1,2,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,terminal_reprojection,2147483649,2,3,1,10,0,0,0,-0.0089980605989694595,-0.0032242706511169672,1,2,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,terminal_reprojection,2147483649,2,3,0,13,0,1,0,0.0063255741260945797,0.0026884621474891901,1,2,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,terminal_reprojection,2147483649,2,3,1,14,0,1,0,0.01427412498742342,0.0051446398720145226,1,2,0,0,0,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,terminal_reprojection,2147483649,2,3,0,32,1,0,0,-0.00029557361267507076,-0.00019151775632053614,1,2,0,0,0,unavailable
