beginning_time_s,candidate,dt_s,x,y,z_face,beginning_momentum,stress_rate,buoyancy_rate,advection_rate,source_rate,pressure_gradient_rate,restoration_rate,total_rate,closure_residual,lower_vreman_m2_per_s,upper_vreman_m2_per_s
1.7316493930411525,7,4.2156947377414156e-10,50,41,0,-0.44582250714302063,-3.9879602131619278,3.9879602131619278,0,0,1524297096863031.8,-130376345820159.17,1393920770784594.2,19741721.75,0.00074637157376855612,0.00074637157376855612
1.7316493930411525,7,4.2156947377414156e-10,50,41,1,0.23334212601184845,-5.6371537124354969,5.6371537124354969,0,0,141406491372731.25,713024972631302.75,854431494252011.62,30247977.625,0.00074637157376855612,0.00053117424249649048
1.7316493930411525,7,4.2156947377414156e-10,50,41,2,-0.63893657922744751,-2.3663668131994164,2.3663668131994164,0,0,1205397998699140.5,467666244272768.12,1673064276030704.5,33058796,0.00053117424249649048,0.00070873089134693146
1.7316493930411525,7,4.2156947377414156e-10,50,41,3,-0.15930157899856567,-1.4781073566752945,1.4781073566752945,0,0,1053271456718164.2,244393288436245.47,1297664752393024.5,7238614.75,0.00070873089134693146,0.00059415638679638505
1.7316493930411525,7,4.2156947377414156e-10,50,41,4,-0.24196915328502655,-1.2180618397656511,1.2180618397656511,0,0,-3351102458516422,849978229666540.75,-2501124247899758.5,-19049877.5,0.00059415638679638505,0.00089031207608059049
1.7316493930411525,7,4.2156947377414156e-10,50,41,5,-0.75345200300216675,-0.1455459543747199,0.1455459543747199,0,0,-5104887530715713,1012791844669350,-4092095677857907,8188456,0.00089031207608059049,0.00076831190381199121
1.7316493930411525,7,4.2156947377414156e-10,50,41,6,0.75201719999313354,-0.51730892184494981,0.51730892184494981,0,0,6141325833727397,-242859140353344.91,5898466688589076,-4784976,0.00076831190381199121,0.00081694399705156684
1.7316493930411525,7,4.2156947377414156e-10,50,41,7,-0.4688306450843811,-1.0836451398120477,1.0836451398120477,0,0,-2527435135331555.5,545048804039127.06,-1982386405228889,-73936460.5,0.00081694399705156684,0.00077641860116273165
1.7316493930411525,7,4.2156947377414156e-10,50,41,8,-0.5357092022895813,-0.13285247179125506,0.13285247179125506,0,0,-4723978783783929,808590033685946.88,-3915388665392602,84705380,0.00077641860116273165,0.00076429935870692134
1.7316493930411525,7,4.2156947377414156e-10,50,41,9,0.033419158309698105,0.31740825265407219,-0.31740825265407219,-44.183586931839393,0,2855857278330877,154770753242338.12,3010627952300022,-79273149,0.00076429935870692134,0.00075190328061580658
1.7316493930411525,7,4.2156947377414156e-10,50,41,10,0.90844631195068359,-0.42145432892909906,0.42145432892909906,0,0,8234350957440997,-282697769677340.75,7951653404937085,217173429,0.00075190328061580658,0.00091384979896247387
1.7316493930411525,7,4.2156947377414156e-10,50,41,11,0.84183579683303833,-1.2907786812526545,1.2907786812526545,0,0,5742045856235050,-361840715444507.69,5380204922947926,-217842616,0.00091384979896247387,0.00073235866148024797
1.7316493930411525,7,4.2156947377414156e-10,50,41,12,-0.57369732856750488,-1.3059061702755368,1.3059061702755368,0,0,1159313512728013,392435316814791.06,1551748856103855.8,26561051.75,0.00073235866148024797,0.00094509334303438663
1.7316493930411525,7,4.2156947377414156e-10,50,41,13,1.6174288988113403,-0.67146250938448016,0.67146250938448016,0,0,-3766769118227845.5,407447670397561.81,-3359321429870963.5,17959320,0.00094509334303438663,0.0010638320818543434
1.7316493930411525,7,4.2156947377414156e-10,50,41,14,1.70246422290802,-0.071484687142187378,0.071484687142187378,0,0,2626837790426195.5,-41064702443979.164,2585773200741275,112759058.5,0.0010638320818543434,0.00061261741211637855
1.7316493930411525,7,4.2156947377414156e-10,50,41,15,1.0881364345550537,-0.69374337045690926,0.69374337045690926,0,0,1771296717276219,-46328069784444.555,1724968586679889,-60811885.5,0.00061261741211637855,0.00049616012256592512
1.7316493930411525,7,4.2156947377414156e-10,50,41,16,0.90901780128479004,-0.67802201658463057,0.67802201658463057,0,0,-7076336014780449,1006698839459546.4,-6069636959503097,215817806,0.00049616012256592512,0.00049017817946150899
1.7316493930411525,7,4.2156947377414156e-10,50,41,17,1.4187129735946655,0.25377953498275457,-0.25377953498275457,0,0,-1640664778945920.5,781905449175383,-858759285206052.75,44564484.75,0.00049017817946150899,0.00050989078590646386
1.7316493930411525,7,4.2156947377414156e-10,50,41,18,1.1746038198471069,-0.40695118806218411,0.40695118806218411,0,0,9441337662253044,-557826798735408.19,8883511042364031,178846395,0.00050989078590646386,0.00091629027156159282
1.7316493930411525,7,4.2156947377414156e-10,50,41,19,-0.20760755240917206,-1.7551994283096164,1.7551994283096164,0,0,2363244819604179.5,9391986959001.8262,2372636854260070.5,47696889,0.00091629027156159282,0.0010078297927975655
1.7316493930411525,7,4.2156947377414156e-10,50,41,20,-0.076988950371742249,-2.8843386317446043,2.8843386317446043,0,0,-2569935840706630,683093221674495.25,-1886842732918581.8,-113886447,0.0010078297927975655,0.00087948277359828353
1.7316493930411525,7,4.2156947377414156e-10,50,41,21,0.72827541828155518,-2.9365924179786722,2.9365924179786722,0,0,-1370471027770697.8,457805695754430.44,-912665280483642,51532625.25,0.00087948277359828353,0.00077333033550530672
1.7316493930411525,7,4.2156947377414156e-10,50,41,22,1.1848708391189575,-3.1146528514302236,3.1146528514302236,0,0,826295226339433.12,189320885915851.97,1015616118491886.8,6236601.625,0.00077333033550530672,0.00099449686240404844
1.7316493930411525,7,4.2156947377414156e-10,50,41,23,0.3767721951007843,-3.974122240429542,3.974122240429542,0,0,-2667911684712186.5,359790489909290.06,-2308121199006700,-4203803.5,0.00099449686240404844,0.0014615559484809637
1.7316493930411525,7,4.2156947377414156e-10,50,41,24,0.83372962474822998,-2.5305460837477165,2.5305460837477165,0,0,-2893327674037144.5,554889412190519.44,-2338438163949652.5,97896972.5,0.0014615559484809637,0.00043436573469080031
1.7316493930411525,7,4.2156947377414156e-10,50,41,25,1.0383235216140747,-1.4431986377188057,1.4431986377188057,0,0,3848272884836924.5,-165658045338964.16,3682614748591185,-90906775.5,0.00043436573469080031,0.00076075241668149829
1.7316493930411525,7,4.2156947377414156e-10,50,41,26,0.56585890054702759,-1.7046553407905289,1.7046553407905289,0,0,1454227833461323.2,-281723953318379.31,1172503872175335.2,-7967608.75,0.00076075241668149829,0.0013470348203554749
1.7316493930411525,7,4.2156947377414156e-10,50,41,27,0.13447868824005127,-0.925242093746241,0.925242093746241,-35.346869545471513,0,-7323606646277473,1045347866520574.1,-6278258505730151,274026783,0.0013470348203554749,0.00079973984975367785
1.7316493930411525,7,4.2156947377414156e-10,50,41,28,1.9346152544021606,-0.28181553570197626,0.28181553570197626,-282.77495636377211,0,-3884390893723302.5,1132766138697805.2,-2751624896438142.5,-141412362.5,0.00079973984975367785,0.0011032461188733578
1.7316493930411525,7,4.2156947377414156e-10,50,41,29,2.5529038906097412,-0.97520462824817578,0.97520462824817578,0,0,5104318822555102,-669327696983993,4434991000078410.5,-125492698.5,0.0011032461188733578,0.00051750667626038194
1.7316493930411525,7,4.2156947377414156e-10,50,41,30,1.5696796178817749,-2.5370693796765624,2.5370693796765624,0,0,10998092339304464,-669024959219663.38,10329067214798596,-165286204,0.00051750667626038194,0.0013022654457017779
1.7316493930411525,7,4.2156947377414156e-10,50,41,31,0.49920278787612915,-3.6907986698744146,3.6907986698744146,0,0,1689866485403235.2,260777153800511.47,1950643641094804.2,1891057.5,0.0013022654457017779,0.0015453115338459611
1.7316493930411525,7,4.2156947377414156e-10,50,41,32,0.72439253330230713,-3.3396425657832061,3.3396425657832061,-141.38747818188605,0,-5772809468893940,1026000521640546.6,-4746808886510222,60743312,0.0015453115338459611,0.0007140261004678905
1.7316493930411525,7,4.2156947377414156e-10,50,41,33,2.6787242889404297,-2.4429245513143671,2.4429245513143671,0,0,-2145021298398069.5,1051670519525160.5,-1093350758056147.6,20816761.375,0.0007140261004678905,0.0014250995591282845
1.7316493930411525,7,4.2156947377414156e-10,50,41,34,2.3341274261474609,-3.0213597121691138,3.0213597121691138,0,0,7393508529201254,-819343599306850.38,6574164730336724,-199557680,0.0014250995591282845,0.001360621303319931
1.7316493930411525,7,4.2156947377414156e-10,50,41,35,0.60710495710372925,-4.191719324987667,4.191719324987667,141.38747818188605,0,6311498259538368,-695971288844293.75,5615526716631663,-254062552,0.001360621303319931,0.0009723324328660965
1.7316493930411525,7,4.2156947377414156e-10,50,41,36,1.1440044641494751,-3.9197020984300042,3.9197020984300042,0,0,-2621610300920680,1182139228531988.2,-1439471117468958,-45080266.25,0.0009723324328660965,0.0011259696912020445
1.7316493930411525,7,4.2156947377414156e-10,50,41,37,2.3137791156768799,-2.7484534001429095,2.7484534001429095,0,0,-5361690991912245,1646690920917862.8,-3715000222284073.5,-151289691.5,0.0011259696912020445,0.00097745854873210192
1.7316493930411525,7,4.2156947377414156e-10,50,41,38,2.1931083202362061,-2.1602334270722445,2.1602334270722445,0,0,3926548832344640.5,-980432706143801.62,2946116261152924.5,134952085.5,0.00097745854873210192,0.00082868448225781322
1.7316493930411525,7,4.2156947377414156e-10,50,41,39,2.0222158432006836,-2.5123569646553632,2.5123569646553632,0,0,9236222004267032,-882524763164720.25,8353697188404372,-52697940,0.00082868448225781322,0.0014650870580226183
1.7316493930411525,7,4.2156947377414156e-10,50,41,40,2.1511905193328857,-3.1888835874124619,3.1888835874124619,0,0,3666742900431554.5,-371077330622404,3295665507682927,-62126223.5,0.0014650870580226183,0.0016871320549398661
1.7316493930411525,7,4.2156947377414156e-10,50,41,41,2.7627851963043213,-3.4780128123378518,3.4780128123378518,0,0,-2393018826691620,616556738971224.88,-1776462118048009.5,-30327614.5,0.0016871320549398661,0.0012199467746540904
1.7316493930411525,7,4.2156947377414156e-10,50,41,42,3.5110504627227783,-2.9860272554996854,2.9860272554996854,0,0,-1962613789591589,89114018772922.719,-1873499797031339.2,-26212673,0.0012199467746540904,0.0019665663130581379
1.7316493930411525,7,4.2156947377414156e-10,50,41,43,3.5639064311981201,-2.350402251261321,2.350402251261321,0,0,1667742611213528.5,-483314465765044.12,1184428142112305.5,-3336179,0.0019665663130581379,0.0012495529372245073
1.7316493930411525,7,4.2156947377414156e-10,50,41,44,2.9838290214538574,-2.5027987691591367,2.5027987691591367,0,0,1646793810246190.2,-537880130930648.88,1108913717674529.9,38358988.5,0.0012495529372245073,0.00075152312638238072
1.7316493930411525,7,4.2156947377414156e-10,50,41,45,2.5006279945373535,-2.2117220362243075,2.2117220362243075,0,0,-3993590866358569,-15705299866059.977,-4009296167714287.5,-1489658.5,0.00075152312638238072,0.001656054169870913
