accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
1,0.0016462659696117043,0.0016462659696117043,0.10371867567300797,2,3648,36,42,0,0.010556578636169434,1.1920928955078125e-07,1.1920928955078125e-07,0,0
2,0.0032925319392234087,0.0016462659696117043,0.22765403985977173,2,4174,46,48,0,0.018153190612792969,1.1920928955078125e-07,1.1920928955078125e-07,0,0
3,0.004938797908835113,0.0016462659696117043,0.28349882364273071,2,4174,46,48,0,0.019359707832336426,1.1920928955078125e-07,1.1920928955078125e-07,0,0
4,0.0065850638784468174,0.0016462659696117043,0.24603179097175598,2,3221,39,37,0,0.015292048454284668,1.7881393432617188e-07,1.1920928955078125e-07,0,0
5,0.0082313298480585217,0.0016462659696117043,0.20560407638549805,0,3691,37,42,0,0.014178156852722168,1.7881393432617188e-07,1.1920928955078125e-07,0,0
6,0.0098775958176702261,0.0016462659696117043,0.18193946778774261,0,3778,37,43,0,0.014774024486541748,1.7881393432617188e-07,1.1920928955078125e-07,0,0
7,0.01152386178728193,0.0016462659696117043,0.21236495673656464,2,3306,38,38,0,0.016219556331634521,2.9802322387695312e-07,1.1920928955078125e-07,0,0
8,0.013170127756893635,0.0016462659696117043,0.27003484964370728,2,3306,38,38,0,0.013357460498809814,3.5762786865234375e-07,1.1920928955078125e-07,0,0
9,0.014816393726505339,0.0016462659696117043,0.26788508892059326,2,3315,47,38,0,0.01351851224899292,3.5762786865234375e-07,1.1920928955078125e-07,0,0
10,0.016462659696117043,0.0016462659696117043,0.19796672463417053,2,4089,47,47,0,0.017081379890441895,3.5762786865234375e-07,1.1920928955078125e-07,0,0
11,0.018108925665728748,0.0016462659696117043,0.18203864991664886,2,3566,40,41,0,0.014863669872283936,3.5762786865234375e-07,1.1920928955078125e-07,0,0
12,0.019755191635340452,0.0016462659696117043,0.2418196052312851,2,3741,43,43,0,0.018712043762207031,3.5762786865234375e-07,1.1920928955078125e-07,0,0
13,0.021401457604952157,0.0016462659696117043,0.29193869233131409,2,3741,43,43,0,0.023537993431091309,3.5762786865234375e-07,1.1920928955078125e-07,0,0
14,0.023047723574563861,0.0016462659696117043,0.28124812245368958,2,3741,43,43,0,0.024652242660522461,3.5762786865234375e-07,1.1920928955078125e-07,0,0
15,0.024693989544175565,0.0016462659696117043,0.2005988210439682,2,3741,43,43,0,0.019118845462799072,3.5762786865234375e-07,1.1920928955078125e-07,0,0
16,0.02634025551378727,0.0016462659696117043,0.10610381513834,2,4080,38,47,0,0.013503432273864746,3.5762786865234375e-07,1.1920928955078125e-07,0,0
17,0.027986521483398974,0.0016462659696117043,0.11546193063259125,2,3826,42,44,0,0.013101458549499512,3.5762786865234375e-07,1.1920928955078125e-07,0,0
18,0.029632787453010678,0.0016462659696117043,0.25443741679191589,2,3740,42,43,0,0.024276614189147949,3.5762786865234375e-07,1.1920928955078125e-07,0,0
19,0.031279053422622383,0.0016462659696117043,0.33476749062538147,2,3740,42,43,0,0.033531665802001953,3.5762786865234375e-07,1.1920928955078125e-07,0,0
20,0.032925319392234087,0.0016462659696117043,0.31754979491233826,2,3654,42,42,0,0.0326690673828125,3.5762786865234375e-07,1.1920928955078125e-07,0,0
21,0.034571585361845791,0.0016462659696117043,0.25003954768180847,2,3734,36,43,0,0.021092057228088379,3.5762786865234375e-07,1.1920928955078125e-07,0,0
22,0.036217851331457496,0.0016462659696117043,0.17057445645332336,2,3306,38,38,0,0.01871025562286377,3.5762786865234375e-07,1.1920928955078125e-07,0,0
23,0.0378641173010692,0.0016462659696117043,0.18721604347229004,0,3691,37,42,0,0.018295884132385254,3.5762786865234375e-07,1.1920928955078125e-07,0,0
24,0.039510383270680904,0.0016462659696117043,0.21873390674591064,2,3655,43,42,0,0.024980247020721436,3.5762786865234375e-07,1.1920928955078125e-07,0,0
25,0.041156649240292609,0.0016462659696117043,0.26242071390151978,2,4080,38,47,0,0.02391970157623291,3.5762786865234375e-07,1.1920928955078125e-07,0,0
26,0.042802915209904313,0.0016462659696117043,0.30839994549751282,2,3315,47,38,0,0.014052689075469971,3.5762786865234375e-07,1.1920928955078125e-07,0,0
27,0.044449181179516017,0.0016462659696117043,0.26063874363899231,2,4257,43,49,0,0.019868552684783936,3.5762786865234375e-07,1.1920928955078125e-07,0,0
28,0.046095447149127722,0.0016462659696117043,0.20082876086235046,2,3571,45,41,0,0.019373595714569092,3.5762786865234375e-07,1.1920928955078125e-07,0,0
29,0.047741713118739426,0.0016462659696117043,0.18132747709751129,2,3824,40,44,0,0.017232239246368408,3.5762786865234375e-07,1.1920928955078125e-07,0,0
30,0.04938797908835113,0.0016462659696117043,0.12570853531360626,2,4087,45,47,0,0.014322817325592041,3.5762786865234375e-07,1.1920928955078125e-07,0,0
31,0.051034245057962835,0.0016462659696117043,0.12782400846481323,2,3741,43,43,0,0.013615846633911133,3.5762786865234375e-07,1.1920928955078125e-07,0,0
32,0.052680511027574539,0.0016462659696117043,0.21264837682247162,2,3305,37,38,0,0.024546027183532715,3.5762786865234375e-07,1.1920928955078125e-07,0,0
33,0.054326776997186244,0.0016462659696117043,0.20050899684429169,2,3655,43,42,0,0.027155816555023193,3.5762786865234375e-07,1.1920928955078125e-07,0,0
34,0.055973042966797948,0.0016462659696117043,0.11340229213237762,2,3486,46,40,0,0.01799929141998291,3.5762786865234375e-07,1.1920928955078125e-07,0,0
35,0.057619308936409652,0.0016462659696117043,0.17060719430446625,1,4256,42,49,0,0.017651915550231934,3.5762786865234375e-07,1.1920928955078125e-07,0,0
36,0.059265574906021357,0.0016462659696117043,0.25907239317893982,2,3654,42,42,0,0.02932441234588623,3.5762786865234375e-07,1.1920928955078125e-07,0,0
37,0.060911840875633061,0.0016462659696117043,0.34706079959869385,2,3740,42,43,0,0.040947794914245605,3.5762786865234375e-07,1.1920928955078125e-07,0,0
