beginning_time_s,candidate,dt_s,tail_cells,tail_drained_m3,physical_velocity_max_m_per_s,restoration_delta_velocity_max_m_per_s,terminal_velocity_max_m_per_s,physical_impulse_max_kg_per_m2_s,restoration_impulse_max_kg_per_m2_s,terminal_axis,terminal_face,terminal_provisional_momentum,terminal_physical_momentum,terminal_momentum,terminal_face_density,terminal_physical_velocity,terminal_velocity,restoration_axis,restoration_face,compatibility_residual_max,column_stress_rate_max,column_buoyancy_rate_max,column_advection_rate_max,column_source_rate_max,column_pressure_rate_max,column_restoration_rate_max,column_total_rate_max,column_closure_residual_max,column_vreman_min_m2_per_s,column_vreman_max_m2_per_s,attempt_velocity_max_m_per_s,attempt_velocity_axis,attempt_velocity_face,attempt_velocity_x,attempt_velocity_y,attempt_velocity_z,force_inclusive_provisional_byte_identity,force_inclusive_provisional_difference_count,force_inclusive_provisional_difference_max
2.0792286795331165,0,0.0013882153434678912,22785,0.0031110778277824323,10.115011215209961,1.2342026233673096,9.1031284332275391,1.2528504133224487,0.55256795883178711,2,639883,4.1062731742858887,4.9733109474182129,4.475792407989502,0.49167627096176147,10.115011215209961,9.1031284332275391,2,107284,2.7819305614684708e-07,1.5228626280003008,9.7562414887646032,282.86741337020476,0,650.14449579732923,260.7406894558755,736.37654749448598,5.3670207744715981e-06,2.8512391736512654e-07,0.00086155964527279139,9.1031284332275391,2,639883,43,44,86,0,569209,0.1194615364074707
2.0806168948765844,0,0.0013442902127280831,31800,0.004157491639554224,10.215106010437012,1.5275945663452148,8.9791526794433594,1.2410105466842651,0.61541271209716797,2,617695,4.2283215522766113,5.0863609313964844,4.4709482192993164,0.49792540073394775,10.215106010437012,8.9791526794433594,2,114680,2.6040197553811595e-07,1.7695573838706926,9.6665086796857977,332.98324249731434,0,587.12904701635398,235.38680971806122,685.66263143149979,1.1084779941938905e-05,3.1535822131445457e-07,0.00080033193808048964,8.9791526794433594,2,617695,43,44,83,0,553709,0.11904716491699219
2.0819611850893125,0,0.0013628508895635605,23295,0.0029937445255156098,9.8297090530395508,1.2736964225769043,8.7177591323852539,1.3021402359008789,0.55281400680541992,2,647279,4.458674430847168,4.8869118690490723,4.3340978622436523,0.49715733528137207,9.8297090530395508,8.7177591323852539,2,151574,2.7456962925498374e-07,1.4657303447568935,9.6540410701472652,366.45551098506849,0,708.71251853623539,251.84270065261217,710.87981959203194,2.7334540764201165e-06,7.1438313398175524e-07,0.0011073552304878831,8.7177591323852539,2,647279,43,44,87,0,582330,0.11818408966064453
2.0833240359788761,0,0.0014037146465852857,21109,0.0028129283508410018,9.8296709060668945,1.1674938201904297,8.9256525039672852,1.3165953159332275,0.54532909393310547,2,654589,4.3902425765991211,5.0461544990539551,4.6394634246826172,0.51978981494903564,9.7080669403076172,8.9256525039672852,2,122077,2.7178703021490946e-07,1.4959483959658701,9.6820703117322147,287.96016791430822,0,678.39186744997039,235.43865029631814,749.44825319541667,2.6538800410591534e-06,1.1585145784920314e-06,0.0010832634288817644,8.9256525039672852,2,654589,43,43,88,0,588816,0.11223888397216797
2.0847277506254613,0,0.00058137660380452871,31552,0.0043442104527187083,12.969828605651855,3.2344646453857422,10.418803215026855,3.5814700126647949,1.5330471992492676,2,144178,1.4997411966323853,2.4018025398254395,2.1362957954406738,0.20504234731197357,11.713689804077148,10.418803215026855,2,632487,2.7997157303616405e-07,1.5108733763223652,9.7194838512795485,329.81579807876955,0,4468.7263078578299,1314.8104005877469,3440.6161489807641,0.00010252329457216547,1.396731818203989e-06,0.0011069654719904065,10.418803215026855,2,144178,42,42,19,0,466425,0.070048809051513672
2.0853091272292659,0,0.00063951424090191722,13972,0.0019605801806306077,11.740227699279785,2.1478796005249023,9.9906959533691406,1.3985841274261475,1.4343730211257935,2,661985,4.6509032249450684,5.471125602722168,4.8123159408569336,0.48167973756790161,11.358429908752441,9.9906959533691406,2,632487,2.7823853088193573e-07,5.3480630478236053,9.7175011657201189,795.92750954761868,0,1270.6610828604692,688.93941486538677,1548.3046132480599,1.1650374858618306e-05,3.2256653526019363e-07,0.0017844801768660545,9.9906959533691406,2,661985,43,43,89,0,483296,0.063894510269165039
2.0859486414701678,0,0.00070346565917134285,337,7.9407960458938043e-05,10.399791717529297,0.68554973602294922,10.143936157226562,2.968297004699707,0.33688688278198242,2,639883,3.9918076992034912,4.9615726470947266,4.839508056640625,0.47708383202552795,10.399791717529297,10.143936157226562,2,521288,2.7958753889834043e-07,4.0759134456579513,9.7027830494988692,601.36473021107702,0,2961.0948704590842,63.123849442734766,3196.1911323436252,8.4729999343835516e-05,3.3327785331493942e-07,0.0015159855829551816,10.143936157226562,2,639883,43,44,86,0,477842,0.067908525466918945
2.0866521071293391,0,0.00077381223673000932,40951,0.0061964963758747256,10.636198043823242,1.1477806568145752,9.9925928115844727,2.1707310676574707,0.68794643878936768,2,647279,3.7753591537475586,4.8582372665405273,4.5642614364624023,0.45676445960998535,10.636198043823242,9.9925928115844727,2,70478,2.6803286345966626e-07,2.1135557992245069,9.6659133188952335,383.91223705323148,0,1849.4190740133533,512.65037976174654,1899.7448414483142,5.7770453054217796e-05,4.4212137595422973e-07,0.00097190134692937136,9.9925928115844727,2,647279,43,44,87,0,500707,0.060223579406738281
2.0874259193660691,0,0.00085119344294071198,17649,0.00178012713155219,10.790473937988281,1.0459251403808594,9.7445487976074219,1.0771210193634033,0.50231647491455078,2,647279,4.8968753814697266,5.1822357177734375,4.6799192428588867,0.48026025295257568,10.790473937988281,9.7445487976074219,2,647279,2.7681153369485401e-07,3.2081667509152458,9.6776277350699473,615.03784183587504,0,887.79057334987669,226.30668671126369,1265.2446556859038,1.7506198219052749e-05,7.3788305599009618e-07,0.0013943609083071351,9.7445487976074219,2,647279,43,44,87,0,517928,0.079913616180419922
2.0882771128090099,0,0.00093631277559325099,1873,0.00038483231642994273,9.6235799789428711,0.70502948760986328,9.4539394378662109,2.3536839485168457,0.34550571441650391,2,654675,4.1629877090454102,4.711458683013916,4.6284070014953613,0.48957443237304688,9.6235799789428711,9.4539394378662109,2,588110,2.7197756935493089e-07,3.1382795099582355,9.6877492232090656,433.9482320076097,0,1702.6724736351739,163.83420958612325,1844.4141153423491,6.3658903627583641e-05,9.2150582986505469e-07,0.0012218373594805598,9.4539394378662109,2,654675,43,44,88,0,509158,0.074990749359130859
2.0892134255846031,0,0.00102994404733181,47436,0.0079340905441642583,9.7864923477172852,1.1278185844421387,9.1305656433105469,1.7606049776077271,0.41944468021392822,2,662071,4.1320114135742188,4.8203458786010742,4.4972686767578125,0.49255093932151794,9.7864923477172852,9.1305656433105469,2,122164,2.7889427656191401e-07,1.7122156373033943,9.7640470063134437,318.73110442772997,0,1101.8969702340369,367.89198241422775,1158.0466699340082,2.8935865486801049e-05,1.2630052879103459e-06,0.0011614675167948008,9.1305656433105469,2,662071,43,44,89,0,541510,0.07050776481628418
2.0902433696319349,0,0.0011329384287819266,24035,0.0029302708219334198,9.9267940521240234,0.94111537933349609,8.9984941482543945,0.98371720314025879,0.49182319641113281,2,662071,4.7762494087219238,5.0563540458679199,4.5835113525390625,0.50936424732208252,9.9267940521240234,8.9984941482543945,2,632488,2.6926301188723301e-07,2.4583640528585109,9.7864017253832181,473.25292875457507,0,777.732525937726,236.93486809879337,1019.9072058835164,6.5763332770529814e-06,3.2965255059025367e-07,0.001322019612416625,8.9984941482543945,2,662071,43,44,89,0,549180,0.090790748596191406
