beginning_time_s,candidate,dt_s,x,y,z_face,beginning_momentum,stress_rate,buoyancy_rate,advection_rate,source_rate,pressure_gradient_rate,restoration_rate,total_rate,closure_residual
2.1426204254821641,0,4.7868743422441185e-05,38,42,0,0.0091868136078119278,1.215984727231826e-06,4.440385892753187,40.912029888904598,0,34873.684292061291,8940.9363945748846,43859.973259279861,0.00015564604109385982
2.1426204254821641,0,4.7868743422441185e-05,38,42,1,34.455234527587891,-1429.9441583333714,8.8982570378916037,15068.888042158191,0,-31398.882600018544,4603.9751489201299,-13147.065310235703,0
2.1426204254821641,0,4.7868743422441185e-05,38,42,2,35.641040802001953,-897.8095822636468,8.9386769782171545,-51127.3699521054,0,-11933.295114933357,9527.4306151514738,-54422.105357172717,-7.2759576141834259e-12
2.1426204254821641,0,4.7868743422441185e-05,38,42,3,45.483486175537109,-756.22053950202383,8.8804507655383844,-109054.91312366717,0,-112799.18419098256,27874.478381159533,-194726.95902222669,0
2.1426204254821641,0,4.7868743422441185e-05,38,42,4,47.061168670654297,-1207.7410171408246,9.0323783293281839,-10234.287790145356,0,41553.878068955455,-26321.145793224838,3799.7358467737645,-4.5474735088646412e-13
2.1426204254821641,0,4.7868743422441185e-05,38,42,5,39.467304229736328,-1076.8705228582328,9.3328998347780754,66587.85846302571,0,64225.664507989779,-18885.518333249733,110860.46701474229,-2.9103830456733704e-11
2.1426204254821641,0,4.7868743422441185e-05,38,42,6,40.077129364013672,-885.24369458719593,9.2826948653524912,-36219.377584841532,0,15035.577298173135,14079.686451042175,-7980.0748353480676,-2.7284841053187847e-12
2.1426204254821641,0,4.7868743422441185e-05,38,42,7,45.2806396484375,-643.86997536110948,9.2126425932090292,-70861.595039998298,0,-17674.537315075322,16376.613661284415,-72794.176026557107,0
2.1426204254821641,0,4.7868743422441185e-05,38,42,8,43.012374877929688,-972.36845492420616,9.3851288107821365,-14801.366110201656,0,5711.9956856861882,19243.808058026792,9191.4543073978984,-1.8189894035458565e-12
2.1426204254821641,0,4.7868743422441185e-05,38,42,9,51.011650085449219,-1745.1719873598388,9.3475244830924922,-150776.69965572431,0,-61839.483629653609,24516.787263775968,-189835.22048447872,-2.9103830456733704e-11
