accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,69412.290167529136,70713.786666999993,422363861090393181,68,12,2,2,2,3015917568,5533564928,2257.5727088842541,67154.717458644882
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,86658.739083679393,88185.557249999998,8960423594437787795,86,15,3,3,3,3016212480,5533564928,2828.9938753005117,83829.745208378881
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,86678.602167405188,88201.821916999994,2692717190900070341,86,15,3,3,3,3016212480,5533564928,2819.1877503413707,83859.414417063817
